true,GoEmotions,TF-IDF,Semantic
Suicidal,Anxiety,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Normal
Suicidal,Depression,Suicidal,Depression
Suicidal,Anxiety,Normal,Normal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Depression,Anxiety,Anxiety
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Normal,Depression,Suicidal
Suicidal,Depression,Suicidal,Depression
Suicidal,Normal,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Suicidal,Depression,Normal,Suicidal
Suicidal,Anxiety,Suicidal,Suicidal
Suicidal,Depression,Suicidal,Suicidal
Normal,Normal,Normal,Anxiety
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Depression
Normal,Depression,Normal,Suicidal
Normal,Depression,Normal,Suicidal
Normal,Anxiety,Normal,Suicidal
Normal,Anxiety,Normal,Depression
Normal,Normal,Normal,Suicidal
Normal,Depression,Depression,Depression
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Suicidal
Normal,Normal,Normal,Suicidal
Normal,Normal,Normal,Suicidal
Normal,Anxiety,Normal,Anxiety
Normal,Normal,Normal,Suicidal
Normal,Depression,Normal,Suicidal
Normal,Normal,Normal,Anxiety
Normal,Normal,Normal,Depression
Normal,Anxiety,Normal,Anxiety
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Suicidal
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Suicidal
Normal,Depression,Normal,Normal
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Normal,Anxiety,Normal,Depression
Normal,Anxiety,Normal,Suicidal
Normal,Normal,Normal,Anxiety
Normal,Anxiety,Depression,Depression
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Suicidal
Normal,Normal,Normal,Normal
Normal,Anxiety,Normal,Suicidal
Normal,Normal,Normal,Suicidal
Normal,Normal,Normal,Suicidal
Normal,Anxiety,Normal,Suicidal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Depression
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Depression
Normal,Anxiety,Normal,Anxiety
Normal,Anxiety,Normal,Depression
Normal,Normal,Normal,Depression
